"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 12:09:52.332,33.454,41.733,13525.971756
1 Jan 2000 12:10:02.000,33.197,41.730,13526.218919
1 Jan 2000 12:10:12.000,32.931,41.725,13526.536734
1 Jan 2000 12:10:22.000,32.665,41.720,13526.917767
1 Jan 2000 12:10:32.000,32.400,41.713,13527.362016
1 Jan 2000 12:10:42.000,32.135,41.706,13527.869475
1 Jan 2000 12:10:52.000,31.870,41.697,13528.440139
1 Jan 2000 12:11:02.000,31.604,41.687,13529.073999
1 Jan 2000 12:11:12.000,31.339,41.677,13529.771048
1 Jan 2000 12:11:22.000,31.075,41.665,13530.531273
1 Jan 2000 12:11:32.000,30.810,41.653,13531.354664
1 Jan 2000 12:11:42.000,30.546,41.639,13532.241207
1 Jan 2000 12:11:52.000,30.281,41.625,13533.190888
1 Jan 2000 12:12:02.000,30.017,41.609,13534.203690
1 Jan 2000 12:12:12.000,29.754,41.593,13535.279595
1 Jan 2000 12:12:22.000,29.490,41.575,13536.418586
1 Jan 2000 12:12:32.000,29.227,41.557,13537.620640
1 Jan 2000 12:12:42.000,28.964,41.537,13538.885737
1 Jan 2000 12:12:52.000,28.701,41.517,13540.213852
1 Jan 2000 12:13:02.000,28.438,41.496,13541.604962
1 Jan 2000 12:13:12.000,28.176,41.473,13543.059041
1 Jan 2000 12:13:22.000,27.914,41.450,13544.576060
1 Jan 2000 12:13:32.000,27.652,41.425,13546.155991
1 Jan 2000 12:13:42.000,27.391,41.400,13547.798803
1 Jan 2000 12:13:52.000,27.130,41.374,13549.504466
1 Jan 2000 12:14:02.000,26.870,41.346,13551.272944
1 Jan 2000 12:14:12.000,26.609,41.318,13553.104205
1 Jan 2000 12:14:22.000,26.349,41.289,13554.998212
1 Jan 2000 12:14:32.000,26.090,41.259,13556.954928
1 Jan 2000 12:14:42.000,25.831,41.227,13558.974314
1 Jan 2000 12:14:52.000,25.572,41.195,13561.056329
1 Jan 2000 12:15:02.000,25.314,41.162,13563.200933
1 Jan 2000 12:15:12.000,25.056,41.128,13565.408083
1 Jan 2000 12:15:22.000,24.799,41.093,13567.677734
1 Jan 2000 12:15:32.000,24.542,41.057,13570.009840
1 Jan 2000 12:15:42.000,24.285,41.020,13572.404355
1 Jan 2000 12:15:52.000,24.029,40.983,13574.861230
1 Jan 2000 12:16:02.000,23.773,40.944,13577.380416
1 Jan 2000 12:16:12.000,23.518,40.904,13579.961860
1 Jan 2000 12:16:22.000,23.264,40.863,13582.605512
1 Jan 2000 12:16:32.000,23.010,40.822,13585.311316
1 Jan 2000 12:16:42.000,22.756,40.779,13588.079218
1 Jan 2000 12:16:52.000,22.503,40.736,13590.909162
1 Jan 2000 12:17:02.000,22.251,40.691,13593.801089
1 Jan 2000 12:17:12.000,21.999,40.646,13596.754939
1 Jan 2000 12:17:22.000,21.747,40.600,13599.770654
1 Jan 2000 12:17:32.000,21.497,40.553,13602.848170
1 Jan 2000 12:17:42.000,21.246,40.505,13605.987425
1 Jan 2000 12:17:52.000,20.997,40.456,13609.188353
1 Jan 2000 12:18:02.000,20.748,40.406,13612.450890
1 Jan 2000 12:18:12.000,20.499,40.356,13615.774968
1 Jan 2000 12:18:22.000,20.251,40.304,13619.160518
1 Jan 2000 12:18:32.000,20.004,40.251,13622.607471
1 Jan 2000 12:18:42.000,19.757,40.198,13626.115755
1 Jan 2000 12:18:52.000,19.511,40.144,13629.685299
1 Jan 2000 12:19:02.000,19.266,40.089,13633.316029
1 Jan 2000 12:19:12.000,19.021,40.033,13637.007869
1 Jan 2000 12:19:22.000,18.777,39.976,13640.760745
1 Jan 2000 12:19:32.000,18.534,39.918,13644.574577
1 Jan 2000 12:19:42.000,18.291,39.860,13648.449287
1 Jan 2000 12:19:52.000,18.049,39.800,13652.384797
1 Jan 2000 12:20:02.000,17.808,39.740,13656.381023
1 Jan 2000 12:20:12.000,17.567,39.679,13660.437884
1 Jan 2000 12:20:22.000,17.327,39.617,13664.555296
1 Jan 2000 12:20:32.000,17.088,39.554,13668.733174
1 Jan 2000 12:20:42.000,16.849,39.490,13672.971432
1 Jan 2000 12:20:52.000,16.612,39.426,13677.269982
1 Jan 2000 12:21:02.000,16.375,39.360,13681.628737
1 Jan 2000 12:21:12.000,16.138,39.294,13686.047605
1 Jan 2000 12:21:22.000,15.903,39.227,13690.526496
1 Jan 2000 12:21:32.000,15.668,39.160,13695.065318
1 Jan 2000 12:21:42.000,15.434,39.091,13699.663977
1 Jan 2000 12:21:52.000,15.200,39.022,13704.322378
1 Jan 2000 12:22:02.000,14.968,38.952,13709.040427
1 Jan 2000 12:22:12.000,14.736,38.881,13713.818025
1 Jan 2000 12:22:22.000,14.505,38.809,13718.655075
1 Jan 2000 12:22:32.000,14.275,38.736,13723.551477
1 Jan 2000 12:22:42.000,14.045,38.663,13728.507132
1 Jan 2000 12:22:52.000,13.816,38.589,13733.521936
