"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 17:06:56.107,220.034,51.758,12943.656250
1 Jan 2000 17:07:06.000,220.265,51.908,12936.238178
1 Jan 2000 17:07:16.000,220.501,52.061,12928.787464
1 Jan 2000 17:07:26.000,220.738,52.212,12921.384322
1 Jan 2000 17:07:36.000,220.978,52.364,12914.028853
1 Jan 2000 17:07:46.000,221.218,52.515,12906.721159
1 Jan 2000 17:07:56.000,221.461,52.666,12899.461342
1 Jan 2000 17:08:06.000,221.705,52.816,12892.249501
1 Jan 2000 17:08:16.000,221.951,52.967,12885.085736
1 Jan 2000 17:08:26.000,222.199,53.116,12877.970147
1 Jan 2000 17:08:36.000,222.449,53.266,12870.902831
1 Jan 2000 17:08:46.000,222.701,53.414,12863.883885
1 Jan 2000 17:08:56.000,222.954,53.563,12856.913407
1 Jan 2000 17:09:06.000,223.209,53.711,12849.991492
1 Jan 2000 17:09:16.000,223.467,53.859,12843.118236
1 Jan 2000 17:09:26.000,223.726,54.006,12836.293733
1 Jan 2000 17:09:36.000,223.987,54.153,12829.518078
1 Jan 2000 17:09:46.000,224.249,54.299,12822.791362
1 Jan 2000 17:09:56.000,224.514,54.445,12816.113678
1 Jan 2000 17:10:06.000,224.781,54.591,12809.485118
1 Jan 2000 17:10:16.000,225.050,54.736,12802.905772
1 Jan 2000 17:10:26.000,225.321,54.881,12796.375731
1 Jan 2000 17:10:36.000,225.594,55.025,12789.895083
1 Jan 2000 17:10:46.000,225.868,55.168,12783.463916
1 Jan 2000 17:10:56.000,226.145,55.312,12777.082319
1 Jan 2000 17:11:06.000,226.424,55.454,12770.750378
1 Jan 2000 17:11:16.000,226.705,55.596,12764.468180
1 Jan 2000 17:11:26.000,226.989,55.738,12758.235808
1 Jan 2000 17:11:36.000,227.274,55.879,12752.053348
1 Jan 2000 17:11:46.000,227.561,56.020,12745.920883
1 Jan 2000 17:11:56.000,227.851,56.160,12739.838496
1 Jan 2000 17:12:06.000,228.143,56.299,12733.806268
1 Jan 2000 17:12:16.000,228.437,56.438,12727.824282
1 Jan 2000 17:12:26.000,228.733,56.577,12721.892616
1 Jan 2000 17:12:36.000,229.031,56.714,12716.011350
1 Jan 2000 17:12:46.000,229.332,56.852,12710.180563
1 Jan 2000 17:12:56.000,229.635,56.988,12704.400333
1 Jan 2000 17:13:06.000,229.940,57.124,12698.670736
1 Jan 2000 17:13:16.000,230.247,57.260,12692.991848
1 Jan 2000 17:13:26.000,230.557,57.394,12687.363745
1 Jan 2000 17:13:36.000,230.869,57.529,12681.786500
1 Jan 2000 17:13:46.000,231.184,57.662,12676.260186
1 Jan 2000 17:13:56.000,231.501,57.795,12670.784877
1 Jan 2000 17:14:06.000,231.820,57.927,12665.360644
1 Jan 2000 17:14:16.000,232.142,58.058,12659.987558
1 Jan 2000 17:14:26.000,232.466,58.189,12654.665687
1 Jan 2000 17:14:36.000,232.792,58.319,12649.395102
