"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 13:39:48.915,316.448,41.829,13518.577914
1 Jan 2000 13:39:58.000,316.208,41.800,13520.361404
1 Jan 2000 13:40:08.000,315.945,41.768,13522.384247
1 Jan 2000 13:40:18.000,315.683,41.734,13524.469548
1 Jan 2000 13:40:28.000,315.421,41.700,13526.617256
1 Jan 2000 13:40:38.000,315.159,41.664,13528.827316
1 Jan 2000 13:40:48.000,314.897,41.628,13531.099675
1 Jan 2000 13:40:58.000,314.636,41.590,13533.434275
1 Jan 2000 13:41:08.000,314.376,41.552,13535.831059
1 Jan 2000 13:41:18.000,314.116,41.513,13538.289967
1 Jan 2000 13:41:28.000,313.856,41.473,13540.810940
1 Jan 2000 13:41:38.000,313.597,41.431,13543.393915
1 Jan 2000 13:41:48.000,313.338,41.389,13546.038829
1 Jan 2000 13:41:58.000,313.080,41.346,13548.745619
1 Jan 2000 13:42:08.000,312.823,41.302,13551.514217
1 Jan 2000 13:42:18.000,312.565,41.257,13554.344557
1 Jan 2000 13:42:28.000,312.309,41.211,13557.236570
1 Jan 2000 13:42:38.000,312.053,41.165,13560.190187
1 Jan 2000 13:42:48.000,311.797,41.117,13563.205337
1 Jan 2000 13:42:58.000,311.542,41.068,13566.281946
1 Jan 2000 13:43:08.000,311.288,41.019,13569.419941
1 Jan 2000 13:43:18.000,311.034,40.968,13572.619248
1 Jan 2000 13:43:28.000,310.781,40.917,13575.879789
1 Jan 2000 13:43:38.000,310.528,40.865,13579.201487
1 Jan 2000 13:43:48.000,310.276,40.812,13582.584264
1 Jan 2000 13:43:58.000,310.024,40.758,13586.028038
1 Jan 2000 13:44:08.000,309.773,40.703,13589.532729
1 Jan 2000 13:44:18.000,309.523,40.647,13593.098254
1 Jan 2000 13:44:28.000,309.273,40.591,13596.724528
1 Jan 2000 13:44:38.000,309.024,40.533,13600.411466
1 Jan 2000 13:44:48.000,308.776,40.475,13604.158982
1 Jan 2000 13:44:58.000,308.528,40.416,13607.966988
1 Jan 2000 13:45:08.000,308.281,40.356,13611.835395
1 Jan 2000 13:45:18.000,308.035,40.295,13615.764113
1 Jan 2000 13:45:28.000,307.789,40.233,13619.753049
1 Jan 2000 13:45:38.000,307.544,40.170,13623.802112
1 Jan 2000 13:45:48.000,307.300,40.107,13627.911207
1 Jan 2000 13:45:58.000,307.056,40.043,13632.080239
1 Jan 2000 13:46:08.000,306.813,39.977,13636.309111
1 Jan 2000 13:46:18.000,306.571,39.912,13640.597727
1 Jan 2000 13:46:28.000,306.329,39.845,13644.945987
1 Jan 2000 13:46:38.000,306.088,39.777,13649.353792
1 Jan 2000 13:46:48.000,305.848,39.709,13653.821039
1 Jan 2000 13:46:58.000,305.608,39.640,13658.347628
1 Jan 2000 13:47:08.000,305.370,39.570,13662.933454
1 Jan 2000 13:47:18.000,305.132,39.499,13667.578412
1 Jan 2000 13:47:28.000,304.895,39.427,13672.282398
1 Jan 2000 13:47:38.000,304.658,39.355,13677.045303
1 Jan 2000 13:47:48.000,304.422,39.282,13681.867020
1 Jan 2000 13:47:58.000,304.187,39.208,13686.747439
1 Jan 2000 13:48:08.000,303.953,39.133,13691.686451
1 Jan 2000 13:48:18.000,303.720,39.058,13696.683944
1 Jan 2000 13:48:28.000,303.487,38.982,13701.739804
1 Jan 2000 13:48:38.000,303.255,38.905,13706.853919
1 Jan 2000 13:48:48.000,303.024,38.827,13712.026174
1 Jan 2000 13:48:58.000,302.794,38.749,13717.256452
1 Jan 2000 13:49:08.000,302.564,38.669,13722.544637
1 Jan 2000 13:49:18.000,302.336,38.589,13727.890611
1 Jan 2000 13:49:28.000,302.108,38.509,13733.294254
1 Jan 2000 13:49:38.000,301.880,38.427,13738.755447
1 Jan 2000 13:49:48.000,301.654,38.345,13744.274067
1 Jan 2000 13:49:58.000,301.429,38.263,13749.849994
1 Jan 2000 13:50:08.000,301.204,38.179,13755.483104
1 Jan 2000 13:50:18.000,300.980,38.095,13761.173271
1 Jan 2000 13:50:28.000,300.757,38.010,13766.920372
1 Jan 2000 13:50:38.000,300.534,37.924,13772.724279
1 Jan 2000 13:50:48.000,300.313,37.838,13778.584865
1 Jan 2000 13:50:58.000,300.092,37.751,13784.502001
1 Jan 2000 13:51:08.000,299.872,37.664,13790.475560
1 Jan 2000 13:51:18.000,299.653,37.575,13796.505409
1 Jan 2000 13:51:28.000,299.435,37.486,13802.591418
1 Jan 2000 13:51:38.000,299.218,37.397,13808.733454
1 Jan 2000 13:51:48.000,299.001,37.306,13814.931384
1 Jan 2000 13:51:58.000,298.786,37.215,13821.185074
1 Jan 2000 13:52:08.000,298.571,37.124,13827.494389
1 Jan 2000 13:52:18.000,298.357,37.032,13833.859192
1 Jan 2000 13:52:28.000,298.143,36.939,13840.279347
1 Jan 2000 13:52:38.000,297.931,36.845,13846.754716
1 Jan 2000 13:52:48.000,297.719,36.751,13853.285159
1 Jan 2000 13:52:58.000,297.509,36.657,13859.870537
