"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 21:08:09.058,154.170,55.519,12766.084807
1 Jan 2000 21:08:19.000,154.140,55.729,12756.811792
1 Jan 2000 21:08:29.000,154.109,55.940,12747.537065
1 Jan 2000 21:08:39.000,154.078,56.151,12738.314740
1 Jan 2000 21:08:49.000,154.046,56.363,12729.144987
1 Jan 2000 21:08:59.000,154.014,56.574,12720.027979
1 Jan 2000 21:09:09.000,153.980,56.786,12710.963886
1 Jan 2000 21:09:19.000,153.947,56.998,12701.952878
1 Jan 2000 21:09:29.000,153.912,57.210,12692.995124
1 Jan 2000 21:09:39.000,153.877,57.422,12684.090793
1 Jan 2000 21:09:49.000,153.840,57.635,12675.240053
1 Jan 2000 21:09:59.000,153.804,57.847,12666.443071
1 Jan 2000 21:10:09.000,153.766,58.060,12657.700013
1 Jan 2000 21:10:19.000,153.728,58.273,12649.011046
1 Jan 2000 21:10:29.000,153.688,58.486,12640.376335
1 Jan 2000 21:10:39.000,153.648,58.699,12631.796044
1 Jan 2000 21:10:49.000,153.608,58.912,12623.270336
1 Jan 2000 21:10:59.000,153.566,59.126,12614.799374
1 Jan 2000 21:11:09.000,153.523,59.339,12606.383321
1 Jan 2000 21:11:19.000,153.480,59.553,12598.022338
1 Jan 2000 21:11:29.000,153.435,59.767,12589.716585
1 Jan 2000 21:11:39.000,153.390,59.981,12581.466222
1 Jan 2000 21:11:49.000,153.344,60.195,12573.271408
1 Jan 2000 21:11:59.000,153.297,60.409,12565.132301
1 Jan 2000 21:12:09.000,153.248,60.623,12557.049058
1 Jan 2000 21:12:19.000,153.199,60.838,12549.021836
1 Jan 2000 21:12:29.000,153.149,61.052,12541.050790
1 Jan 2000 21:12:39.000,153.097,61.267,12533.136075
1 Jan 2000 21:12:49.000,153.045,61.482,12525.277844
1 Jan 2000 21:12:59.000,152.991,61.697,12517.476252
1 Jan 2000 21:13:09.000,152.936,61.912,12509.731449
1 Jan 2000 21:13:19.000,152.880,62.127,12502.043588
1 Jan 2000 21:13:29.000,152.823,62.342,12494.412817
