"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 22:17:04.815,194.707,57.176,12693.857186
1 Jan 2000 22:17:14.000,194.864,57.354,12686.419554
1 Jan 2000 22:17:24.000,195.037,57.546,12678.371811
1 Jan 2000 22:17:34.000,195.211,57.739,12670.375771
1 Jan 2000 22:17:44.000,195.387,57.932,12662.431566
1 Jan 2000 22:17:54.000,195.565,58.124,12654.539329
1 Jan 2000 22:18:04.000,195.745,58.317,12646.699189
1 Jan 2000 22:18:14.000,195.927,58.510,12638.911276
1 Jan 2000 22:18:24.000,196.111,58.702,12631.175721
1 Jan 2000 22:18:34.000,196.297,58.894,12623.492650
1 Jan 2000 22:18:44.000,196.485,59.087,12615.862192
1 Jan 2000 22:18:54.000,196.675,59.279,12608.284473
1 Jan 2000 22:19:04.000,196.867,59.471,12600.759620
1 Jan 2000 22:19:14.000,197.061,59.663,12593.287757
1 Jan 2000 22:19:24.000,197.258,59.855,12585.869008
1 Jan 2000 22:19:34.000,197.456,60.046,12578.503498
1 Jan 2000 22:19:44.000,197.657,60.238,12571.191349
1 Jan 2000 22:19:54.000,197.860,60.429,12563.932683
1 Jan 2000 22:20:04.000,198.066,60.621,12556.727620
1 Jan 2000 22:20:14.000,198.274,60.812,12549.576281
1 Jan 2000 22:20:24.000,198.484,61.003,12542.478785
1 Jan 2000 22:20:34.000,198.697,61.194,12535.435251
1 Jan 2000 22:20:44.000,198.913,61.384,12528.445795
1 Jan 2000 22:20:54.000,199.131,61.575,12521.510534
1 Jan 2000 22:21:04.000,199.351,61.765,12514.629585
1 Jan 2000 22:21:14.000,199.574,61.956,12507.803061
1 Jan 2000 22:21:24.000,199.800,62.146,12501.031077
1 Jan 2000 22:21:34.000,200.029,62.335,12494.313746
1 Jan 2000 22:21:44.000,200.261,62.525,12487.651179
1 Jan 2000 22:21:54.000,200.495,62.714,12481.043488
1 Jan 2000 22:22:04.000,200.733,62.904,12474.490783
1 Jan 2000 22:22:14.000,200.973,63.092,12467.993172
1 Jan 2000 22:22:24.000,201.216,63.281,12461.550765
