"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 15:58:12.688,182.844,57.909,12663.088454
1 Jan 2000 15:58:22.000,182.952,58.100,12655.254964
1 Jan 2000 15:58:32.000,183.069,58.305,12646.893235
1 Jan 2000 15:58:42.000,183.188,58.511,12638.584058
1 Jan 2000 15:58:52.000,183.308,58.716,12630.327578
1 Jan 2000 15:59:02.000,183.430,58.921,12622.123938
1 Jan 2000 15:59:12.000,183.552,59.127,12613.973281
1 Jan 2000 15:59:22.000,183.676,59.332,12605.875750
1 Jan 2000 15:59:32.000,183.802,59.538,12597.831485
1 Jan 2000 15:59:42.000,183.929,59.744,12589.840628
1 Jan 2000 15:59:52.000,184.057,59.949,12581.903318
1 Jan 2000 16:00:02.000,184.187,60.155,12574.019694
1 Jan 2000 16:00:12.000,184.318,60.361,12566.189895
1 Jan 2000 16:00:22.000,184.451,60.567,12558.414057
1 Jan 2000 16:00:32.000,184.585,60.773,12550.692318
1 Jan 2000 16:00:42.000,184.721,60.979,12543.024813
1 Jan 2000 16:00:52.000,184.858,61.185,12535.411677
1 Jan 2000 16:01:02.000,184.998,61.391,12527.853044
1 Jan 2000 16:01:12.000,185.138,61.597,12520.349048
1 Jan 2000 16:01:22.000,185.281,61.803,12512.899820
1 Jan 2000 16:01:32.000,185.426,62.010,12505.505493
1 Jan 2000 16:01:42.000,185.572,62.216,12498.166196
1 Jan 2000 16:01:52.000,185.720,62.422,12490.882059
1 Jan 2000 16:02:02.000,185.870,62.628,12483.653212
1 Jan 2000 16:02:12.000,186.022,62.835,12476.479782
1 Jan 2000 16:02:22.000,186.175,63.041,12469.361896
1 Jan 2000 16:02:32.000,186.331,63.247,12462.299680
1 Jan 2000 16:02:42.000,186.489,63.454,12455.293260
1 Jan 2000 16:02:52.000,186.649,63.660,12448.342759
1 Jan 2000 16:03:02.000,186.811,63.866,12441.448300
1 Jan 2000 16:03:12.000,186.976,64.073,12434.610007
1 Jan 2000 16:03:22.000,187.143,64.279,12427.828000
1 Jan 2000 16:03:32.000,187.312,64.485,12421.102399
1 Jan 2000 16:03:42.000,187.483,64.691,12414.433325
1 Jan 2000 16:03:52.000,187.657,64.898,12407.820894
1 Jan 2000 16:04:02.000,187.833,65.104,12401.265226
1 Jan 2000 16:04:12.000,188.012,65.310,12394.766435
1 Jan 2000 16:04:22.000,188.193,65.516,12388.324638
1 Jan 2000 16:04:32.000,188.377,65.722,12381.939949
1 Jan 2000 16:04:42.000,188.564,65.928,12375.612481
1 Jan 2000 16:04:52.000,188.754,66.134,12369.342347
1 Jan 2000 16:05:02.000,188.946,66.340,12363.129656
1 Jan 2000 16:05:12.000,189.142,66.546,12356.974521
1 Jan 2000 16:05:22.000,189.340,66.751,12350.877050
1 Jan 2000 16:05:32.000,189.542,66.957,12344.837350
1 Jan 2000 16:05:42.000,189.747,67.163,12338.855530
