"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 14:49:11.891,144.127,53.078,12879.170740
1 Jan 2000 14:49:21.000,144.063,53.265,12870.298029
1 Jan 2000 14:49:31.000,143.992,53.470,12860.606264
1 Jan 2000 14:49:41.000,143.920,53.675,12850.965914
1 Jan 2000 14:49:51.000,143.846,53.881,12841.377160
1 Jan 2000 14:50:01.000,143.772,54.086,12831.840181
1 Jan 2000 14:50:11.000,143.696,54.292,12822.355160
1 Jan 2000 14:50:21.000,143.619,54.498,12812.922274
1 Jan 2000 14:50:31.000,143.541,54.703,12803.541703
1 Jan 2000 14:50:41.000,143.462,54.909,12794.213625
1 Jan 2000 14:50:51.000,143.382,55.115,12784.938217
1 Jan 2000 14:51:01.000,143.301,55.321,12775.715658
1 Jan 2000 14:51:11.000,143.218,55.528,12766.546122
1 Jan 2000 14:51:21.000,143.135,55.734,12757.429786
1 Jan 2000 14:51:31.000,143.049,55.940,12748.366825
1 Jan 2000 14:51:41.000,142.963,56.147,12739.357413
1 Jan 2000 14:51:51.000,142.875,56.353,12730.401724
1 Jan 2000 14:52:01.000,142.786,56.560,12721.499931
1 Jan 2000 14:52:11.000,142.696,56.766,12712.652207
1 Jan 2000 14:52:21.000,142.604,56.973,12703.858723
1 Jan 2000 14:52:31.000,142.511,57.180,12695.119650
1 Jan 2000 14:52:41.000,142.416,57.386,12686.435158
1 Jan 2000 14:52:51.000,142.320,57.593,12677.805417
1 Jan 2000 14:53:01.000,142.223,57.800,12669.230595
1 Jan 2000 14:53:11.000,142.123,58.007,12660.710861
1 Jan 2000 14:53:21.000,142.023,58.214,12652.246382
1 Jan 2000 14:53:31.000,141.920,58.421,12643.837323
1 Jan 2000 14:53:41.000,141.816,58.628,12635.483851
1 Jan 2000 14:53:51.000,141.711,58.835,12627.186131
1 Jan 2000 14:54:01.000,141.603,59.042,12618.944326
1 Jan 2000 14:54:11.000,141.494,59.249,12610.758600
1 Jan 2000 14:54:21.000,141.383,59.457,12602.629116
1 Jan 2000 14:54:31.000,141.270,59.664,12594.556034
1 Jan 2000 14:54:41.000,141.156,59.871,12586.539515
1 Jan 2000 14:54:51.000,141.039,60.078,12578.579720
1 Jan 2000 14:55:01.000,140.921,60.285,12570.676807
1 Jan 2000 14:55:11.000,140.801,60.492,12562.830934
1 Jan 2000 14:55:21.000,140.678,60.699,12555.042259
1 Jan 2000 14:55:31.000,140.554,60.907,12547.310938
1 Jan 2000 14:55:41.000,140.427,61.114,12539.637126
1 Jan 2000 14:55:51.000,140.299,61.321,12532.020977
1 Jan 2000 14:56:01.000,140.168,61.528,12524.462646
1 Jan 2000 14:56:11.000,140.035,61.735,12516.962285
1 Jan 2000 14:56:21.000,139.899,61.942,12509.520046
1 Jan 2000 14:56:31.000,139.761,62.149,12502.136078
1 Jan 2000 14:56:41.000,139.621,62.355,12494.810533
1 Jan 2000 14:56:51.000,139.479,62.562,12487.543558
1 Jan 2000 14:57:01.000,139.333,62.769,12480.335302
1 Jan 2000 14:57:11.000,139.186,62.975,12473.185911
1 Jan 2000 14:57:21.000,139.035,63.182,12466.095532
1 Jan 2000 14:57:31.000,138.882,63.388,12459.064307
1 Jan 2000 14:57:41.000,138.726,63.595,12452.092383
1 Jan 2000 14:57:51.000,138.568,63.801,12445.179900
1 Jan 2000 14:58:01.000,138.406,64.007,12438.327001
1 Jan 2000 14:58:11.000,138.242,64.213,12431.533826
1 Jan 2000 14:58:21.000,138.074,64.419,12424.800515
1 Jan 2000 14:58:31.000,137.904,64.625,12418.127206
1 Jan 2000 14:58:41.000,137.730,64.830,12411.514037
1 Jan 2000 14:58:51.000,137.553,65.036,12404.961143
1 Jan 2000 14:59:01.000,137.372,65.241,12398.468660
1 Jan 2000 14:59:11.000,137.189,65.446,12392.036721
1 Jan 2000 14:59:21.000,137.001,65.651,12385.665461
1 Jan 2000 14:59:31.000,136.810,65.856,12379.355009
1 Jan 2000 14:59:41.000,136.616,66.061,12373.105497
1 Jan 2000 14:59:51.000,136.417,66.265,12366.917055
1 Jan 2000 15:00:01.000,136.215,66.469,12360.789810
1 Jan 2000 15:00:11.000,136.009,66.673,12354.723890
1 Jan 2000 15:00:21.000,135.799,66.876,12348.719420
1 Jan 2000 15:00:31.000,135.585,67.080,12342.776526
1 Jan 2000 15:00:41.000,135.366,67.283,12336.895330
1 Jan 2000 15:00:51.000,135.143,67.486,12331.075955
1 Jan 2000 15:01:01.000,134.915,67.688,12325.318522
1 Jan 2000 15:01:11.000,134.683,67.891,12319.623151
1 Jan 2000 15:01:21.000,134.446,68.092,12313.989961
1 Jan 2000 15:01:31.000,134.204,68.294,12308.419068
1 Jan 2000 15:01:41.000,133.958,68.495,12302.910589
1 Jan 2000 15:01:51.000,133.706,68.696,12297.464639
1 Jan 2000 15:02:01.000,133.449,68.897,12292.081331
1 Jan 2000 15:02:11.000,133.186,69.097,12286.760778
1 Jan 2000 15:02:21.000,132.918,69.296,12281.503090
