"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 12:00:00.000,243.194,45.520,13281.598442
1 Jan 2000 12:00:10.000,243.053,45.344,13291.765054
1 Jan 2000 12:00:20.000,242.914,45.167,13302.025449
1 Jan 2000 12:00:30.000,242.776,44.991,13312.334299
1 Jan 2000 12:00:40.000,242.639,44.814,13322.691408
1 Jan 2000 12:00:50.000,242.503,44.637,13333.096584
1 Jan 2000 12:01:00.000,242.368,44.460,13343.549629
1 Jan 2000 12:01:10.000,242.235,44.283,13354.050350
1 Jan 2000 12:01:20.000,242.103,44.106,13364.598549
1 Jan 2000 12:01:30.000,241.971,43.929,13375.194031
1 Jan 2000 12:01:40.000,241.842,43.751,13385.836599
1 Jan 2000 12:01:50.000,241.713,43.574,13396.526056
1 Jan 2000 12:02:00.000,241.585,43.397,13407.262205
1 Jan 2000 12:02:10.000,241.458,43.219,13418.044848
1 Jan 2000 12:02:20.000,241.333,43.042,13428.873787
1 Jan 2000 12:02:30.000,241.209,42.864,13439.748823
1 Jan 2000 12:02:40.000,241.085,42.686,13450.669760
1 Jan 2000 12:02:50.000,240.963,42.509,13461.636396
1 Jan 2000 12:03:00.000,240.842,42.331,13472.648534
1 Jan 2000 12:03:10.000,240.722,42.153,13483.705974
1 Jan 2000 12:03:20.000,240.602,41.975,13494.808516
1 Jan 2000 12:03:30.000,240.484,41.797,13505.955961
1 Jan 2000 12:03:40.000,240.367,41.619,13517.148107
1 Jan 2000 12:03:50.000,240.251,41.442,13528.384756
1 Jan 2000 12:04:00.000,240.136,41.264,13539.665705
1 Jan 2000 12:04:10.000,240.021,41.086,13550.990755
1 Jan 2000 12:04:20.000,239.908,40.908,13562.359704
1 Jan 2000 12:04:30.000,239.796,40.730,13573.772350
1 Jan 2000 12:04:40.000,239.684,40.552,13585.228494
1 Jan 2000 12:04:50.000,239.574,40.373,13596.727931
1 Jan 2000 12:05:00.000,239.464,40.195,13608.270462
1 Jan 2000 12:05:10.000,239.356,40.017,13619.855883
1 Jan 2000 12:05:20.000,239.248,39.839,13631.483993
1 Jan 2000 12:05:30.000,239.141,39.661,13643.154590
1 Jan 2000 12:05:40.000,239.035,39.483,13654.867469
1 Jan 2000 12:05:50.000,238.930,39.305,13666.622430
1 Jan 2000 12:06:00.000,238.825,39.127,13678.419269
1 Jan 2000 12:06:10.000,238.722,38.949,13690.257783
1 Jan 2000 12:06:20.000,238.619,38.771,13702.137770
1 Jan 2000 12:06:30.000,238.517,38.593,13714.059025
1 Jan 2000 12:06:40.000,238.416,38.415,13726.021346
1 Jan 2000 12:06:50.000,238.316,38.237,13738.024530
1 Jan 2000 12:07:00.000,238.217,38.060,13750.068372
1 Jan 2000 12:07:10.000,238.118,37.882,13762.152670
1 Jan 2000 12:07:20.000,238.020,37.704,13774.277219
1 Jan 2000 12:07:30.000,237.923,37.526,13786.441817
1 Jan 2000 12:07:40.000,237.826,37.348,13798.646258
1 Jan 2000 12:07:50.000,237.731,37.171,13810.890340
1 Jan 2000 12:08:00.000,237.636,36.993,13823.173859
1 Jan 2000 12:08:10.000,237.542,36.815,13835.496610
1 Jan 2000 12:08:20.000,237.448,36.638,13847.858389
1 Jan 2000 12:08:30.000,237.356,36.460,13860.258993
1 Jan 2000 12:08:40.000,237.264,36.283,13872.698218
1 Jan 2000 12:08:50.000,237.172,36.105,13885.175859
1 Jan 2000 12:09:00.000,237.082,35.928,13897.691712
1 Jan 2000 12:09:10.000,236.992,35.751,13910.245574
1 Jan 2000 12:09:20.000,236.902,35.573,13922.837240
1 Jan 2000 12:09:30.000,236.814,35.396,13935.466507
1 Jan 2000 12:09:40.000,236.726,35.219,13948.133170
1 Jan 2000 12:09:50.000,236.639,35.042,13960.837025
1 Jan 2000 12:09:52.327,236.618,35.001,13963.798162

Interval Statistics
"Min Elevation",1 Jan 2000 12:09:52.327,236.618,35.001,13963.798162
"Max Elevation",1 Jan 2000 12:00:00.000,243.194,45.520,13281.598442
"Mean Elevation",,,40.197,
"Min Range",1 Jan 2000 12:00:00.000,243.194,45.520,13281.598442
"Max Range",1 Jan 2000 12:09:52.327,236.618,35.001,13963.798162
"Mean Range",,,,13614.757731

"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 23:33:19.430,240.562,54.328,12823.448382
1 Jan 2000 23:33:29.000,240.858,54.437,12818.476046
1 Jan 2000 23:33:39.000,241.168,54.550,12813.327913
1 Jan 2000 23:33:49.000,241.480,54.663,12808.228411
1 Jan 2000 23:33:59.000,241.793,54.775,12803.177598
1 Jan 2000 23:34:09.000,242.109,54.886,12798.175531
1 Jan 2000 23:34:19.000,242.426,54.996,12793.222265
1 Jan 2000 23:34:29.000,242.745,55.106,12788.317857
1 Jan 2000 23:34:39.000,243.066,55.215,12783.462361
1 Jan 2000 23:34:49.000,243.389,55.323,12778.655829
1 Jan 2000 23:34:59.000,243.713,55.431,12773.898316
1 Jan 2000 23:35:09.000,244.040,55.538,12769.189871
1 Jan 2000 23:35:19.000,244.368,55.643,12764.530548
1 Jan 2000 23:35:29.000,244.698,55.749,12759.920395
1 Jan 2000 23:35:39.000,245.030,55.853,12755.359462
1 Jan 2000 23:35:49.000,245.363,55.957,12750.847798
1 Jan 2000 23:35:59.000,245.699,56.060,12746.385450
1 Jan 2000 23:36:09.000,246.036,56.162,12741.972464
1 Jan 2000 23:36:19.000,246.375,56.263,12737.608888
1 Jan 2000 23:36:29.000,246.716,56.363,12733.294764
1 Jan 2000 23:36:39.000,247.059,56.463,12729.030139
1 Jan 2000 23:36:49.000,247.404,56.561,12724.815054
1 Jan 2000 23:36:59.000,247.751,56.659,12720.649552
1 Jan 2000 23:37:09.000,248.099,56.756,12716.533675
1 Jan 2000 23:37:19.000,248.449,56.852,12712.467464
