"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 20:26:29.640,72.731,68.840,12298.686011
1 Jan 2000 20:26:39.000,72.166,68.873,12297.837469
1 Jan 2000 20:26:49.000,71.561,68.906,12296.996480
1 Jan 2000 20:26:59.000,70.954,68.936,12296.223265
1 Jan 2000 20:27:09.000,70.346,68.964,12295.517838
1 Jan 2000 20:27:19.000,69.736,68.990,12294.880210
1 Jan 2000 20:27:29.000,69.124,69.013,12294.310392
1 Jan 2000 20:27:39.000,68.511,69.034,12293.808391
1 Jan 2000 20:27:49.000,67.897,69.052,12293.374213
1 Jan 2000 20:27:59.000,67.282,69.067,12293.007865
1 Jan 2000 20:28:09.000,66.666,69.080,12292.709349
1 Jan 2000 20:28:19.000,66.050,69.091,12292.478666
1 Jan 2000 20:28:29.000,65.433,69.099,12292.315817
1 Jan 2000 20:28:39.000,64.816,69.104,12292.220799
1 Jan 2000 20:28:49.000,64.198,69.107,12292.193609
1 Jan 2000 20:28:59.000,63.581,69.107,12292.234243
1 Jan 2000 20:29:09.000,62.963,69.105,12292.342693
1 Jan 2000 20:29:19.000,62.346,69.100,12292.518950
1 Jan 2000 20:29:29.000,61.729,69.093,12292.763006
1 Jan 2000 20:29:39.000,61.113,69.083,12293.074847
1 Jan 2000 20:29:49.000,60.498,69.071,12293.454460
1 Jan 2000 20:29:59.000,59.883,69.056,12293.901831
1 Jan 2000 20:30:09.000,59.270,69.038,12294.416943
1 Jan 2000 20:30:19.000,58.658,69.019,12294.999776
1 Jan 2000 20:30:29.000,58.047,68.996,12295.650311
1 Jan 2000 20:30:39.000,57.438,68.971,12296.368526
1 Jan 2000 20:30:49.000,56.830,68.944,12297.154398
1 Jan 2000 20:30:59.000,56.224,68.914,12298.007902
1 Jan 2000 20:31:09.000,55.621,68.882,12298.929011
1 Jan 2000 20:31:19.000,55.019,68.847,12299.917696
1 Jan 2000 20:31:29.000,54.419,68.810,12300.973927
1 Jan 2000 20:31:39.000,53.822,68.770,12302.097674
1 Jan 2000 20:31:49.000,53.227,68.728,12303.288901
1 Jan 2000 20:31:59.000,52.635,68.684,12304.547576
1 Jan 2000 20:32:09.000,52.046,68.637,12305.873660
1 Jan 2000 20:32:19.000,51.459,68.588,12307.267116
1 Jan 2000 20:32:29.000,50.876,68.536,12308.727904
1 Jan 2000 20:32:39.000,50.295,68.482,12310.255982
1 Jan 2000 20:32:49.000,49.718,68.426,12311.851308
1 Jan 2000 20:32:59.000,49.144,68.368,12313.513836
1 Jan 2000 20:33:09.000,48.574,68.307,12315.243521
1 Jan 2000 20:33:19.000,48.007,68.244,12317.040314
1 Jan 2000 20:33:29.000,47.443,68.179,12318.904165
1 Jan 2000 20:33:39.000,46.884,68.112,12320.835024
1 Jan 2000 20:33:49.000,46.328,68.042,12322.832838
1 Jan 2000 20:33:59.000,45.775,67.971,12324.897553
1 Jan 2000 20:34:09.000,45.227,67.897,12327.029112
1 Jan 2000 20:34:19.000,44.683,67.821,12329.227458
1 Jan 2000 20:34:29.000,44.143,67.743,12331.492533
1 Jan 2000 20:34:39.000,43.607,67.663,12333.824274
1 Jan 2000 20:34:49.000,43.075,67.581,12336.222621
1 Jan 2000 20:34:59.000,42.548,67.497,12338.687509
1 Jan 2000 20:35:09.000,42.024,67.411,12341.218873
1 Jan 2000 20:35:19.000,41.505,67.323,12343.816645
1 Jan 2000 20:35:29.000,40.991,67.233,12346.480759
1 Jan 2000 20:35:39.000,40.481,67.141,12349.211143
1 Jan 2000 20:35:49.000,39.975,67.048,12352.007726
1 Jan 2000 20:35:59.000,39.474,66.952,12354.870435
1 Jan 2000 20:36:09.000,38.978,66.855,12357.799195
1 Jan 2000 20:36:19.000,38.486,66.756,12360.793930
1 Jan 2000 20:36:29.000,37.998,66.655,12363.854564
1 Jan 2000 20:36:39.000,37.515,66.552,12366.981015
1 Jan 2000 20:36:49.000,37.037,66.448,12370.173205
1 Jan 2000 20:36:59.000,36.563,66.341,12373.431050
1 Jan 2000 20:37:09.000,36.095,66.234,12376.754467
1 Jan 2000 20:37:19.000,35.630,66.124,12380.143372
1 Jan 2000 20:37:29.000,35.171,66.013,12383.597676
1 Jan 2000 20:37:39.000,34.716,65.901,12387.117294
1 Jan 2000 20:37:49.000,34.265,65.786,12390.702134
1 Jan 2000 20:37:59.000,33.820,65.671,12394.352107
1 Jan 2000 20:38:09.000,33.379,65.553,12398.067119
1 Jan 2000 20:38:19.000,32.942,65.435,12401.847077
1 Jan 2000 20:38:29.000,32.511,65.314,12405.691886
1 Jan 2000 20:38:39.000,32.084,65.193,12409.601449
1 Jan 2000 20:38:49.000,31.661,65.070,12413.575667
1 Jan 2000 20:38:59.000,31.243,64.945,12417.614443
1 Jan 2000 20:39:09.000,30.830,64.819,12421.717674
1 Jan 2000 20:39:19.000,30.421,64.692,12425.885258
1 Jan 2000 20:39:29.000,30.017,64.563,12430.117092
1 Jan 2000 20:39:39.000,29.617,64.434,12434.413071
1 Jan 2000 20:39:49.000,29.222,64.303,12438.773088
1 Jan 2000 20:39:59.000,28.831,64.170,12443.197036
1 Jan 2000 20:40:09.000,28.445,64.037,12447.684805
1 Jan 2000 20:40:19.000,28.063,63.902,12452.236286
1 Jan 2000 20:40:29.000,27.685,63.766,12456.851366
1 Jan 2000 20:40:39.000,27.312,63.629,12461.529932
1 Jan 2000 20:40:49.000,26.943,63.491,12466.271871
1 Jan 2000 20:40:59.000,26.578,63.351,12471.077066
1 Jan 2000 20:41:09.000,26.218,63.211,12475.945400
1 Jan 2000 20:41:19.000,25.862,63.069,12480.876755
1 Jan 2000 20:41:29.000,25.510,62.927,12485.871011
1 Jan 2000 20:41:39.000,25.162,62.783,12490.928049
1 Jan 2000 20:41:49.000,24.818,62.639,12496.047745
1 Jan 2000 20:41:59.000,24.479,62.493,12501.229976
1 Jan 2000 20:42:09.000,24.143,62.346,12506.474618
1 Jan 2000 20:42:19.000,23.811,62.199,12511.781545
1 Jan 2000 20:42:29.000,23.484,62.050,12517.150630
1 Jan 2000 20:42:39.000,23.160,61.901,12522.581745
1 Jan 2000 20:42:49.000,22.840,61.751,12528.074760
1 Jan 2000 20:42:59.000,22.524,61.600,12533.629545
1 Jan 2000 20:43:09.000,22.212,61.448,12539.245968
1 Jan 2000 20:43:19.000,21.903,61.295,12544.923896
1 Jan 2000 20:43:29.000,21.599,61.141,12550.663195
1 Jan 2000 20:43:39.000,21.298,60.987,12556.463729
1 Jan 2000 20:43:49.000,21.000,60.831,12562.325362
1 Jan 2000 20:43:59.000,20.706,60.675,12568.247957
1 Jan 2000 20:44:09.000,20.416,60.518,12574.231375
1 Jan 2000 20:44:19.000,20.129,60.361,12580.275475
1 Jan 2000 20:44:29.000,19.846,60.203,12586.380118
1 Jan 2000 20:44:39.000,19.566,60.044,12592.545161
1 Jan 2000 20:44:49.000,19.290,59.884,12598.770461
1 Jan 2000 20:44:59.000,19.017,59.724,12605.055874
1 Jan 2000 20:45:09.000,18.747,59.563,12611.401255
1 Jan 2000 20:45:19.000,18.481,59.401,12617.806457
1 Jan 2000 20:45:29.000,18.218,59.239,12624.271333
1 Jan 2000 20:45:39.000,17.958,59.076,12630.795734
1 Jan 2000 20:45:49.000,17.701,58.912,12637.379512
1 Jan 2000 20:45:59.000,17.448,58.748,12644.022516
1 Jan 2000 20:46:09.000,17.197,58.584,12650.724595
1 Jan 2000 20:46:19.000,16.950,58.418,12657.485595
1 Jan 2000 20:46:29.000,16.705,58.253,12664.305365
1 Jan 2000 20:46:39.000,16.464,58.086,12671.183748
1 Jan 2000 20:46:49.000,16.225,57.920,12678.120591
1 Jan 2000 20:46:59.000,15.990,57.752,12685.115737
1 Jan 2000 20:47:09.000,15.757,57.584,12692.169028
