"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 13:05:09.575,56.551,51.309,12978.561709
1 Jan 2000 13:05:19.000,56.242,51.341,12976.988134
1 Jan 2000 13:05:29.000,55.913,51.374,12975.381953
1 Jan 2000 13:05:39.000,55.584,51.406,12973.841128
1 Jan 2000 13:05:49.000,55.254,51.436,12972.365699
1 Jan 2000 13:05:59.000,54.923,51.465,12970.955702
1 Jan 2000 13:06:09.000,54.592,51.493,12969.611174
1 Jan 2000 13:06:19.000,54.260,51.519,12968.332150
1 Jan 2000 13:06:29.000,53.928,51.544,12967.118663
1 Jan 2000 13:06:39.000,53.596,51.568,12965.970745
1 Jan 2000 13:06:49.000,53.263,51.590,12964.888425
1 Jan 2000 13:06:59.000,52.930,51.612,12963.871733
1 Jan 2000 13:07:09.000,52.596,51.632,12962.920695
1 Jan 2000 13:07:19.000,52.262,51.650,12962.035337
1 Jan 2000 13:07:29.000,51.928,51.668,12961.215683
1 Jan 2000 13:07:39.000,51.593,51.684,12960.461755
1 Jan 2000 13:07:49.000,51.259,51.698,12959.773574
1 Jan 2000 13:07:59.000,50.924,51.712,12959.151160
1 Jan 2000 13:08:09.000,50.588,51.724,12958.594529
1 Jan 2000 13:08:19.000,50.253,51.734,12958.103699
1 Jan 2000 13:08:29.000,49.917,51.744,12957.678683
1 Jan 2000 13:08:39.000,49.581,51.752,12957.319495
1 Jan 2000 13:08:49.000,49.245,51.758,12957.026147
1 Jan 2000 13:08:59.000,48.910,51.764,12956.798648
1 Jan 2000 13:09:09.000,48.573,51.768,12956.637007
1 Jan 2000 13:09:19.000,48.237,51.771,12956.541231
1 Jan 2000 13:09:29.000,47.901,51.772,12956.511324
1 Jan 2000 13:09:39.000,47.565,51.772,12956.547291
1 Jan 2000 13:09:49.000,47.229,51.771,12956.649134
1 Jan 2000 13:09:59.000,46.893,51.768,12956.816854
1 Jan 2000 13:10:09.000,46.557,51.765,12957.050448
1 Jan 2000 13:10:19.000,46.222,51.759,12957.349916
1 Jan 2000 13:10:29.000,45.886,51.753,12957.715252
1 Jan 2000 13:10:39.000,45.551,51.745,12958.146451
1 Jan 2000 13:10:49.000,45.215,51.736,12958.643507
1 Jan 2000 13:10:59.000,44.880,51.725,12959.206409
1 Jan 2000 13:11:09.000,44.546,51.713,12959.835149
1 Jan 2000 13:11:19.000,44.211,51.700,12960.529713
1 Jan 2000 13:11:29.000,43.877,51.686,12961.290089
1 Jan 2000 13:11:39.000,43.543,51.670,12962.116262
1 Jan 2000 13:11:49.000,43.210,51.653,12963.008215
1 Jan 2000 13:11:59.000,42.877,51.635,12963.965930
1 Jan 2000 13:12:09.000,42.544,51.615,12964.989387
1 Jan 2000 13:12:19.000,42.211,51.594,12966.078565
1 Jan 2000 13:12:29.000,41.880,51.571,12967.233442
1 Jan 2000 13:12:39.000,41.548,51.548,12968.453993
1 Jan 2000 13:12:49.000,41.217,51.523,12969.740193
1 Jan 2000 13:12:59.000,40.887,51.497,12971.092013
1 Jan 2000 13:13:09.000,40.557,51.469,12972.509426
1 Jan 2000 13:13:19.000,40.228,51.440,12973.992400
1 Jan 2000 13:13:29.000,39.899,51.410,12975.540905
1 Jan 2000 13:13:39.000,39.571,51.379,12977.154905
1 Jan 2000 13:13:49.000,39.244,51.346,12978.834367
1 Jan 2000 13:13:59.000,38.917,51.312,12980.579254
1 Jan 2000 13:14:09.000,38.591,51.277,12982.389528
1 Jan 2000 13:14:19.000,38.265,51.240,12984.265149
1 Jan 2000 13:14:29.000,37.941,51.203,12986.206076
1 Jan 2000 13:14:39.000,37.617,51.164,12988.212266
1 Jan 2000 13:14:49.000,37.294,51.123,12990.283676
1 Jan 2000 13:14:59.000,36.971,51.082,12992.420260
1 Jan 2000 13:15:09.000,36.650,51.039,12994.621970
1 Jan 2000 13:15:19.000,36.329,50.995,12996.888759
1 Jan 2000 13:15:29.000,36.009,50.950,12999.220576
1 Jan 2000 13:15:39.000,35.690,50.904,13001.617369
1 Jan 2000 13:15:49.000,35.372,50.856,13004.079086
1 Jan 2000 13:15:59.000,35.055,50.807,13006.605671
1 Jan 2000 13:16:09.000,34.739,50.757,13009.197070
1 Jan 2000 13:16:19.000,34.423,50.706,13011.853224
1 Jan 2000 13:16:29.000,34.109,50.653,13014.574074
1 Jan 2000 13:16:39.000,33.796,50.600,13017.359560
1 Jan 2000 13:16:49.000,33.483,50.545,13020.209620
1 Jan 2000 13:16:59.000,33.172,50.489,13023.124192
1 Jan 2000 13:17:09.000,32.861,50.432,13026.103209
1 Jan 2000 13:17:19.000,32.552,50.373,13029.146606
1 Jan 2000 13:17:29.000,32.244,50.314,13032.254315
1 Jan 2000 13:17:39.000,31.937,50.253,13035.426268
1 Jan 2000 13:17:49.000,31.631,50.191,13038.662393
1 Jan 2000 13:17:59.000,31.326,50.128,13041.962619
1 Jan 2000 13:18:09.000,31.022,50.064,13045.326872
1 Jan 2000 13:18:19.000,30.719,49.999,13048.755078
1 Jan 2000 13:18:29.000,30.417,49.933,13052.247160
1 Jan 2000 13:18:39.000,30.117,49.865,13055.803041
1 Jan 2000 13:18:49.000,29.818,49.797,13059.422642
1 Jan 2000 13:18:59.000,29.520,49.727,13063.105883
1 Jan 2000 13:19:09.000,29.223,49.656,13066.852682
1 Jan 2000 13:19:19.000,28.927,49.584,13070.662955
1 Jan 2000 13:19:29.000,28.633,49.512,13074.536619
1 Jan 2000 13:19:39.000,28.340,49.438,13078.473588
1 Jan 2000 13:19:49.000,28.048,49.363,13082.473774
1 Jan 2000 13:19:59.000,27.757,49.287,13086.537089
1 Jan 2000 13:20:09.000,27.468,49.209,13090.663443
1 Jan 2000 13:20:19.000,27.180,49.131,13094.852745
1 Jan 2000 13:20:29.000,26.893,49.052,13099.104903
1 Jan 2000 13:20:39.000,26.607,48.972,13103.419822
1 Jan 2000 13:20:49.000,26.323,48.891,13107.797408
1 Jan 2000 13:20:59.000,26.040,48.809,13112.237563
1 Jan 2000 13:21:09.000,25.759,48.725,13116.740192
1 Jan 2000 13:21:19.000,25.478,48.641,13121.305193
1 Jan 2000 13:21:29.000,25.199,48.556,13125.932467
1 Jan 2000 13:21:39.000,24.922,48.470,13130.621913
1 Jan 2000 13:21:49.000,24.645,48.383,13135.373427
1 Jan 2000 13:21:59.000,24.370,48.295,13140.186905
1 Jan 2000 13:22:09.000,24.097,48.206,13145.062243
1 Jan 2000 13:22:19.000,23.825,48.116,13149.999333
1 Jan 2000 13:22:29.000,23.554,48.025,13154.998068
1 Jan 2000 13:22:39.000,23.284,47.934,13160.058338
1 Jan 2000 13:22:49.000,23.016,47.841,13165.180033
1 Jan 2000 13:22:59.000,22.750,47.747,13170.363042
1 Jan 2000 13:23:09.000,22.484,47.653,13175.607251
1 Jan 2000 13:23:19.000,22.220,47.557,13180.912548
1 Jan 2000 13:23:29.000,21.958,47.461,13186.278816
1 Jan 2000 13:23:39.000,21.697,47.364,13191.705940
1 Jan 2000 13:23:49.000,21.437,47.266,13197.193803
1 Jan 2000 13:23:59.000,21.179,47.167,13202.742284
1 Jan 2000 13:24:09.000,20.922,47.068,13208.351265
1 Jan 2000 13:24:19.000,20.666,46.967,13214.020625
1 Jan 2000 13:24:29.000,20.412,46.866,13219.750241
1 Jan 2000 13:24:39.000,20.159,46.764,13225.539991
1 Jan 2000 13:24:49.000,19.908,46.661,13231.389750
1 Jan 2000 13:24:59.000,19.658,46.557,13237.299392
1 Jan 2000 13:25:09.000,19.410,46.452,13243.268792
1 Jan 2000 13:25:19.000,19.163,46.347,13249.297820
1 Jan 2000 13:25:29.000,18.917,46.241,13255.386350
1 Jan 2000 13:25:39.000,18.673,46.134,13261.534250
1 Jan 2000 13:25:49.000,18.430,46.026,13267.741390
1 Jan 2000 13:25:59.000,18.189,45.918,13274.007637
1 Jan 2000 13:26:09.000,17.949,45.808,13280.332860
1 Jan 2000 13:26:19.000,17.710,45.699,13286.716923
1 Jan 2000 13:26:29.000,17.473,45.588,13293.159693
1 Jan 2000 13:26:39.000,17.237,45.477,13299.661031
1 Jan 2000 13:26:49.000,17.003,45.364,13306.220802
1 Jan 2000 13:26:59.000,16.770,45.252,13312.838868
1 Jan 2000 13:27:09.000,16.538,45.138,13319.515088
1 Jan 2000 13:27:19.000,16.308,45.024,13326.249324
1 Jan 2000 13:27:29.000,16.079,44.909,13333.041433
1 Jan 2000 13:27:39.000,15.852,44.793,13339.891274
1 Jan 2000 13:27:49.000,15.626,44.677,13346.798704
1 Jan 2000 13:27:59.000,15.401,44.560,13353.763578
1 Jan 2000 13:28:09.000,15.178,44.443,13360.785753
1 Jan 2000 13:28:19.000,14.956,44.325,13367.865081
1 Jan 2000 13:28:29.000,14.736,44.206,13375.001416
1 Jan 2000 13:28:39.000,14.517,44.086,13382.194610
1 Jan 2000 13:28:49.000,14.299,43.966,13389.444515
1 Jan 2000 13:28:59.000,14.083,43.845,13396.750981
1 Jan 2000 13:29:09.000,13.868,43.724,13404.113858
1 Jan 2000 13:29:19.000,13.654,43.602,13411.532995
1 Jan 2000 13:29:29.000,13.442,43.480,13419.008238
1 Jan 2000 13:29:39.000,13.231,43.357,13426.539436
1 Jan 2000 13:29:49.000,13.022,43.233,13434.126434
1 Jan 2000 13:29:59.000,12.814,43.109,13441.769077
