"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2000 12:29:37.148,320.902,52.047,12943.879033
1 Jan 2000 12:29:47.000,320.574,52.083,12942.053968
1 Jan 2000 12:29:57.000,320.241,52.119,12940.266586
1 Jan 2000 12:30:07.000,319.908,52.153,12938.544765
1 Jan 2000 12:30:17.000,319.573,52.186,12936.888544
1 Jan 2000 12:30:27.000,319.238,52.217,12935.297958
1 Jan 2000 12:30:37.000,318.902,52.248,12933.773042
1 Jan 2000 12:30:47.000,318.566,52.277,12932.313830
1 Jan 2000 12:30:57.000,318.229,52.304,12930.920354
1 Jan 2000 12:31:07.000,317.892,52.331,12929.592644
1 Jan 2000 12:31:17.000,317.553,52.356,12928.330728
1 Jan 2000 12:31:27.000,317.215,52.379,12927.134634
1 Jan 2000 12:31:37.000,316.876,52.402,12926.004387
1 Jan 2000 12:31:47.000,316.536,52.423,12924.940012
1 Jan 2000 12:31:57.000,316.196,52.442,12923.941530
1 Jan 2000 12:32:07.000,315.856,52.460,12923.008963
1 Jan 2000 12:32:17.000,315.515,52.477,12922.142331
1 Jan 2000 12:32:27.000,315.174,52.493,12921.341650
1 Jan 2000 12:32:37.000,314.832,52.507,12920.606938
1 Jan 2000 12:32:47.000,314.491,52.520,12919.938208
1 Jan 2000 12:32:57.000,314.149,52.532,12919.335475
1 Jan 2000 12:33:07.000,313.806,52.542,12918.798750
1 Jan 2000 12:33:17.000,313.464,52.551,12918.328042
1 Jan 2000 12:33:27.000,313.121,52.558,12917.923360
1 Jan 2000 12:33:37.000,312.778,52.564,12917.584712
1 Jan 2000 12:33:47.000,312.435,52.569,12917.312102
1 Jan 2000 12:33:57.000,312.092,52.573,12917.105535
1 Jan 2000 12:34:07.000,311.749,52.575,12916.965011
1 Jan 2000 12:34:17.000,311.405,52.575,12916.890533
1 Jan 2000 12:34:27.000,311.062,52.575,12916.882099
1 Jan 2000 12:34:37.000,310.719,52.573,12916.939707
1 Jan 2000 12:34:47.000,310.375,52.569,12917.063352
1 Jan 2000 12:34:57.000,310.032,52.564,12917.253029
1 Jan 2000 12:35:07.000,309.689,52.558,12917.508730
1 Jan 2000 12:35:17.000,309.346,52.551,12917.830447
1 Jan 2000 12:35:27.000,309.003,52.542,12918.218170
1 Jan 2000 12:35:37.000,308.660,52.532,12918.671887
1 Jan 2000 12:35:47.000,308.318,52.520,12919.191583
1 Jan 2000 12:35:57.000,307.975,52.507,12919.777245
1 Jan 2000 12:36:07.000,307.633,52.493,12920.428855
1 Jan 2000 12:36:17.000,307.291,52.477,12921.146395
1 Jan 2000 12:36:27.000,306.950,52.460,12921.929846
1 Jan 2000 12:36:37.000,306.608,52.442,12922.779186
1 Jan 2000 12:36:47.000,306.267,52.422,12923.694392
1 Jan 2000 12:36:57.000,305.927,52.402,12924.675441
1 Jan 2000 12:37:07.000,305.587,52.379,12925.722305
1 Jan 2000 12:37:17.000,305.247,52.356,12926.834958
1 Jan 2000 12:37:27.000,304.908,52.331,12928.013370
1 Jan 2000 12:37:37.000,304.569,52.304,12929.257511
1 Jan 2000 12:37:47.000,304.231,52.277,12930.567349
1 Jan 2000 12:37:57.000,303.893,52.248,12931.942850
1 Jan 2000 12:38:07.000,303.556,52.217,12933.383978
1 Jan 2000 12:38:17.000,303.219,52.186,12934.890697
1 Jan 2000 12:38:27.000,302.883,52.153,12936.462969
1 Jan 2000 12:38:37.000,302.548,52.119,12938.100754
1 Jan 2000 12:38:47.000,302.213,52.083,12939.804010
1 Jan 2000 12:38:57.000,301.879,52.046,12941.572694
1 Jan 2000 12:39:07.000,301.546,52.008,12943.406763
1 Jan 2000 12:39:17.000,301.213,51.969,12945.306169
1 Jan 2000 12:39:27.000,300.881,51.928,12947.270866
1 Jan 2000 12:39:37.000,300.550,51.886,12949.300804
1 Jan 2000 12:39:47.000,300.219,51.843,12951.395934
1 Jan 2000 12:39:57.000,299.890,51.799,12953.556203
1 Jan 2000 12:40:07.000,299.561,51.753,12955.781557
1 Jan 2000 12:40:17.000,299.233,51.706,12958.071942
1 Jan 2000 12:40:27.000,298.906,51.658,12960.427301
1 Jan 2000 12:40:37.000,298.580,51.609,12962.847576
1 Jan 2000 12:40:47.000,298.255,51.558,12965.332707
1 Jan 2000 12:40:57.000,297.931,51.506,12967.882634
1 Jan 2000 12:41:07.000,297.607,51.453,12970.497295
1 Jan 2000 12:41:17.000,297.285,51.398,12973.176624
1 Jan 2000 12:41:27.000,296.963,51.343,12975.920558
1 Jan 2000 12:41:37.000,296.643,51.286,12978.729029
1 Jan 2000 12:41:47.000,296.324,51.228,12981.601969
1 Jan 2000 12:41:57.000,296.005,51.169,12984.539307
1 Jan 2000 12:42:07.000,295.688,51.109,12987.540974
